"path" "sample"
"1" "results/SRR6493317" "1"
"2" "results/SRR6493318" "2"
"3" "results/SRR6493319" "3"
"4" "results/SRR6493320" "4"
"5" "results/SRR6493322" "5"
"6" "results/SRR6493323" "6"
"7" "results/SRR6493324" "7"
"8" "results/SRR6493325" "8"
"9" "results/SRR6493326" "9"
"10" "results/SRR6493327" "10"
"11" "results/SRR6493328" "11"
"12" "results/SRR6493329" "12"
"13" "results/SRR6493330" "13"
"14" "results/SRR6493331" "14"
"15" "results/SRR6493332" "15"
"16" "results/SRR6493333" "16"
"17" "results/SRR6493334" "17"
"18" "results/SRR6493335" "18"
"19" "results/SRR6493336" "19"
"20" "results/SRR6493337" "20"
"21" "results/SRR6493338" "21"
"22" "results/SRR6493339" "22"
"23" "results/SRR6493340" "23"
"24" "results/SRR6493341" "24"
"25" "results/SRR6493342" "25"
"26" "results/SRR6493343" "26"
"27" "results/SRR6493344" "27"
"28" "results/SRR6493345" "28"
"29" "results/SRR6493346" "29"
"30" "results/SRR6493347" "30"
