Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System	247/2150	2.558968569249689E-28	2.1537774705643216E-25	0	0	2.455965909090909	156.0343376862607	CYFIP2;EIF4A1;CDA;NCKAP1;IL1RN;IFITM2;WIPF1;EIF4A3;LGALS3;TBK1;PSMD2;ANPEP;CDC27;CPNE1;PRKACA;PGLYRP1;ATP6V1E1;BTRC;B2M;TRIM22;RNF111;WSB1;RSAD2;IL1R2;HLA-B;HLA-C;UNC13D;DYNC1LI1;BIN2;TRIM14;RBCK1;NUP98;ALPK1;UBA52;STXBP2;TXN;UBE2J2;PPL;RNF213;PCBP2;HMOX1;LTA4H;HLA-DQA1;VASP;STAT5B;NBEAL2;PRDX6;BST1;CYLD;BPIFB2;GRB2;TNFSF8;CALR;HLA-DRB1;ITK;GPI;CDKN1A;SERPINA1;ARPC1B;HBB;PPP3CA;NKIRAS1;SEC61G;ARIH2;SEC61B;CTSD;SPTAN1;CTSC;JAK1;CTSB;CD53;SERPINB3;ATP6V0B;FCER1G;DBNL;BTN3A1;GSTO1;IFNGR2;IL18;NME2;TYK2;IL17RA;VAMP8;PSMA2;RAPGEF1;CD46;ALDOA;CD44;RAB7A;CD63;SP100;WAS;RELA;CPN2;PSMB6;PPP2CA;PSMB7;PPP2CB;HLA-DMA;PAK1;AP2S1;STX4;STAT6;CD59;STX3;RPS27A;RNF130;CD55;BCAP31;CCL22;CCL20;STAT2;STAT3;MYO9B;LILRB1;BATF;PSMC1;QPCT;LAMTOR2;LAMTOR3;C1QC;CD86;NUP188;NCF2;CD81;UBE2D2;UBE2D3;SRP14;NPEPPS;TUBB6;IL18RAP;CLEC5A;CFL1;MAP3K8;FBXW4;MAP2K4;MAP2K1;CHRNB4;DGAT1;CISH;IST1;FBXO15;TAP1;TUBA4A;EEF1A1;CLEC4A;TYROBP;UBE2V1;RAF1;CLEC4E;S100A9;SQSTM1;S100A8;ANAPC1;CD274;UBA7;CUL3;LY96;GPR84;PSEN1;UBR1;KLC1;CSF2RA;FOXO1;RASGRP3;CNN2;RAP1A;BTBD1;UBB;ALDH3B1;RAB4B;UBE2B;HSPA5;FANCL;TNFRSF9;MSN;FBXO32;NFKB1;NFKB2;NFKBIA;PTPRC;MKRN1;DEGS1;HPSE;MUC21;EIF4G2;DDX3X;EIF4E3;ITGB2;PTEN;TNFAIP3;SLC2A3;TCIRG1;CXCL2;HTN1;LMNB1;S100A7A;HTN3;ADGRE5;PGM2;TRIM69;SNAP29;TRIM62;CR1;DYNLT1;RNASET2;YWHAZ;TAPBP;DNM2;FGR;PKM;DNAJC5;IRF7;POLR1D;LCP2;RALA;CLEC12A;MGRN1;UNC93B1;MVP;PRCP;IL2RG;CBL;CDC42;RAB24;STOM;CSK;RBBP6;GBP2;GBP1;MAPK3;ERAP2;MX1;LIMK1;PDAP1;PTPN12;BAIAP2;FBXL13;FCGR2A;VAPA;P2RX1;PDCD4;PTPN6;S100P;P4HB;LTBR;GLA
Cellular Responses to Stimuli	139/887	2.6043258410693126E-28	2.1537774705643216E-25	0	0	3.3517680614440635	212.88824812543996	RPL5;RPL3;NUP188;RPL32;NCF2;WIPF1;UBE2D2;UBE2D3;MT1X;PPP2R2A;COX6A1;RPL8;RPL9;CCAR2;RPL7;TUBB6;CAPNS1;PSMD2;KHSRP;CDC27;RPL36;RPL38;RPL37;CHAC1;PRKACA;ATP6V1E1;BTRC;RPL39;TSPYL2;MAP2K4;RPS9;RPS7;H2AC6;RPS8;RPL23;RPS5;RPS6;PGD;PDIA6;TUBA4A;EEF1A1;DYNC1LI1;RRAGA;DDIT3;RPL24;MT-CO2;MT-CO3;NUP98;RPL29;ATF6;SQSTM1;UBA52;ATF3;ANAPC1;ATF4;MT1E;CUL3;LY96;COX7A2;TXN;HIGD1A;RPS4Y1;STIP1;UBB;HMOX1;SSR1;SULT1A3;XBP1;PHC2;RPL41;HSPA5;HMGA1;PRDX6;NFKB1;NFKBIA;RPS29;RPL27A;GNB2;GNB1;GNAS;SRPRA;CALR;NFE2L2;RPS23;CDKN1A;COX4I1;HSPB8;HBB;BRCA1;TCIRG1;LIMD1;HERPUD1;LMNB1;CSRP1;H3-3A;ATP6V0B;NCOA6;HSBP1;H2BC12;NCOR1;PSMA2;RPL37A;AKT1S1;TERF2IP;ITGA5;HM13;RPL12;RPL11;COX5B;RELA;HSPD1;PSMB6;PPP2CA;PSMB7;DNAJB1;EXOSC4;GNG5;DNAJB6;HSF1;RPL14;RPS3;RPL15;RPS27A;ABCF2;RPL17;RPL19;MAPK3;NFYA;PTGES3;STAT3;RPL35A;RPL23A;TNRC6C;PSMC1;BMT2;PKN2;LAMTOR2;P4HB;LAMTOR3
Cellular Responses to Stress	125/787	5.093180051253699E-26	2.80803993492454E-23	0	0	3.3748642264021034	196.54976394967446	RPL5;RPL3;NUP188;RPL32;NCF2;WIPF1;UBE2D2;UBE2D3;COX6A1;RPL8;RPL9;CCAR2;RPL7;TUBB6;PSMD2;KHSRP;CDC27;RPL36;RPL38;RPL37;CHAC1;ATP6V1E1;BTRC;RPL39;TSPYL2;MAP2K4;RPS9;RPS7;H2AC6;RPS8;RPL23;RPS5;RPS6;PGD;PDIA6;TUBA4A;EEF1A1;DYNC1LI1;RRAGA;DDIT3;RPL24;MT-CO2;MT-CO3;NUP98;RPL29;ATF6;SQSTM1;UBA52;ATF3;ANAPC1;ATF4;CUL3;LY96;COX7A2;TXN;HIGD1A;RPS4Y1;STIP1;UBB;HMOX1;SSR1;SULT1A3;XBP1;PHC2;RPL41;HSPA5;HMGA1;PRDX6;NFKB1;RPS29;RPL27A;SRPRA;CALR;NFE2L2;RPS23;CDKN1A;COX4I1;HSPB8;HBB;BRCA1;TCIRG1;LIMD1;HERPUD1;LMNB1;H3-3A;ATP6V0B;NCOA6;HSBP1;H2BC12;NCOR1;PSMA2;RPL37A;AKT1S1;TERF2IP;HM13;RPL12;RPL11;COX5B;RELA;HSPD1;PSMB6;PSMB7;DNAJB1;EXOSC4;DNAJB6;HSF1;RPL14;RPS3;RPL15;RPS27A;ABCF2;RPL17;RPL19;MAPK3;NFYA;PTGES3;STAT3;RPL35A;RPL23A;TNRC6C;PSMC1;BMT2;LAMTOR2;P4HB;LAMTOR3
SRP-dependent Cotranslational Protein Targeting to Membrane	44/119	1.2227355067565165E-24	5.056011320438196E-22	0	0	10.026181377009403	552.051088178824	RPL5;RPL3;RPL32;RPL12;RPN1;RPL11;RPL8;SRP14;RPS4Y1;RPL9;RPL7;SEC61G;RPL36;RPL14;RPS3;SSR1;RPL38;RPL37;SEC61B;RPL15;RPS27A;RPL39;RPL17;SEC11A;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;SSR2;RPS6;RPL35A;RPL23A;SRP9;RPS29;RPL27A;RPL37A;SRPRA;RPL24;RPL29;UBA52;RPS23
Innate Immune System	149/1149	9.819868969293606E-22	3.248412655042325E-19	0	0	2.6767535211267606	129.48116405184447	CYFIP2;CDA;NCKAP1;NCF2;CD81;WIPF1;UBE2D2;UBE2D3;SRP14;LGALS3;TBK1;PSMD2;ANPEP;CLEC5A;CFL1;CPNE1;MAP3K8;PRKACA;PGLYRP1;ATP6V1E1;BTRC;B2M;MAP2K4;MAP2K1;CHRNB4;DGAT1;IST1;HLA-B;HLA-C;UNC13D;EEF1A1;CLEC4A;DYNC1LI1;TYROBP;BIN2;UBE2V1;ALPK1;RAF1;CLEC4E;S100A9;UBA52;S100A8;UBA7;LY96;GPR84;PSEN1;TXN;CNN2;RAP1A;UBB;ALDH3B1;PCBP2;HMOX1;LTA4H;RAB4B;NBEAL2;PRDX6;NFKB1;NFKB2;NFKBIA;BST1;CYLD;BPIFB2;PTPRC;GRB2;DEGS1;HPSE;MUC21;ITK;GPI;DDX3X;SERPINA1;ARPC1B;ITGB2;TNFAIP3;HBB;SLC2A3;TCIRG1;HTN1;S100A7A;HTN3;PPP3CA;ADGRE5;NKIRAS1;PGM2;SNAP29;CTSD;SPTAN1;CTSC;CTSB;CD53;SERPINB3;ATP6V0B;FCER1G;DBNL;CR1;DYNLT1;RNASET2;NME2;DNM2;VAMP8;FGR;PKM;PSMA2;DNAJC5;IRF7;POLR1D;LCP2;CD46;ALDOA;CD44;RAB7A;CD63;CLEC12A;UNC93B1;MVP;WAS;PRCP;RELA;CPN2;PSMB6;CDC42;PPP2CA;PSMB7;PPP2CB;PAK1;RAB24;STOM;STAT6;CD59;RPS27A;CD55;MAPK3;CCL22;LIMK1;PDAP1;MYO9B;BAIAP2;FCGR2A;VAPA;PSMC1;P2RX1;QPCT;PTPN6;S100P;LAMTOR2;GLA;LAMTOR3;C1QC
Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC)	41/120	1.5381958243287142E-21	3.6345369906281332E-19	0	0	8.843506627765398	423.8133531059964	RPL5;RPL3;RPL32;RBM8A;RPL12;EIF4A3;RPL11;PPP2R2A;RPL8;RPS4Y1;RPL9;RPL7;PPP2CA;MAGOH;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;PNRC2;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
Nonsense-Mediated Decay (NMD)	41/120	1.5381958243287142E-21	3.6345369906281332E-19	0	0	8.843506627765398	423.8133531059964	RPL5;RPL3;RPL32;RBM8A;RPL12;EIF4A3;RPL11;PPP2R2A;RPL8;RPS4Y1;RPL9;RPL7;PPP2CA;MAGOH;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;PNRC2;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
Peptide Chain Elongation	36/94	5.2649336534271226E-21	1.0885250328460576E-18	0	0	10.540510232688534	492.1703464351883	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;EEF1A1;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	38/106	6.603545991104914E-21	1.2135850076986142E-18	0	0	9.502022890604206	441.52745868978377	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;RPS29;DDIT3;RPL27A;RPL37A;RPL24;RPL29;UBA52;ATF3;ATF4;RPS23
Neutrophil Degranulation	84/478	1.50098873144411E-20	2.482635361808558E-18	0	0	3.716972721128543	169.66336757710556	CDA;GPI;SERPINA1;DDX3X;ITGB2;HBB;SLC2A3;TCIRG1;SRP14;LGALS3;ADGRE5;PSMD2;ANPEP;CLEC5A;CPNE1;PGM2;PGLYRP1;SNAP29;B2M;CTSD;SPTAN1;CTSC;CTSB;SERPINB3;CD53;CHRNB4;CR1;DBNL;FCER1G;DGAT1;DYNLT1;IST1;RNASET2;HLA-B;NME2;HLA-C;UNC13D;VAMP8;EEF1A1;FGR;DYNC1LI1;PKM;TYROBP;BIN2;PSMA2;DNAJC5;ALDOA;S100A9;S100A8;CD44;RAB7A;CD63;CLEC12A;MVP;PRCP;GPR84;PSEN1;CNN2;PSMB7;RAP1A;ALDH3B1;RAB24;STOM;CD59;LTA4H;CD55;RAB4B;PDAP1;NBEAL2;PRDX6;NFKB1;BST1;PTPRC;FCGR2A;VAPA;P2RX1;QPCT;LAMTOR2;PTPN6;DEGS1;S100P;HPSE;LAMTOR3;GLA
Eukaryotic Translation Elongation	36/99	4.060127969541823E-20	6.10495605602016E-18	0	0	9.701380823332043	433.1713818963162	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;EEF1A1;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
Cellular Response to Starvation	45/161	1.5379694674561602E-19	2.119834582643741E-17	0	0	6.621325607687959	286.82691135292606	RPL5;RPL3;RPL32;RPL12;RPL11;TCIRG1;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;ATP6V1E1;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;ATP6V0B;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;RRAGA;RPS29;DDIT3;RPL27A;BMT2;RPL37A;RPL24;LAMTOR2;RPL29;UBA52;LAMTOR3;ATF3;ATF4;RPS23
Eukaryotic Translation Termination	35/98	2.66055068845957E-19	3.1432505990800914E-17	0	0	9.423385479342159	403.0436968141247	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
Selenocysteine Synthesis	35/98	2.66055068845957E-19	3.1432505990800914E-17	0	0	9.423385479342159	403.0436968141247	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	38/117	3.4446976098032934E-19	3.798353231076431E-17	0	0	8.17416805086202	347.5025261998077	EIF4A1;RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;EIF5;RPS29;RPL27A;RPL37A;EIF3J;RPL24;RPL29;UBA52;RPS23
Cap-dependent Translation Initiation	39/124	4.225114644797995E-19	4.110788013232873E-17	0	0	7.801662404092071	330.0732820076564	EIF4A1;RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;EIF4EBP1;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;EIF5;RPS29;RPL27A;RPL37A;EIF3J;RPL24;RPL29;UBA52;RPS23
Eukaryotic Translation Initiation	39/124	4.225114644797995E-19	4.110788013232873E-17	0	0	7.801662404092071	330.0732820076564	EIF4A1;RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;EIF4EBP1;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;EIF5;RPS29;RPL27A;RPL37A;EIF3J;RPL24;RPL29;UBA52;RPS23
Formation of a Pool of Free 40S Subunits	36/106	5.59850546294984E-19	4.933235588607087E-17	0	0	8.727990708478513	366.8079234387186	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;RPS29;RPL27A;RPL37A;EIF3J;RPL24;RPL29;UBA52;RPS23
Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)	35/100	5.666957447613946E-19	4.933235588607087E-17	0	0	9.13246320466537	383.69555018330277	RPL5;RPL3;RPL32;RPL12;RPL11;RPL8;RPS4Y1;RPL9;RPL7;RPL36;RPL14;RPS3;RPL38;RPL37;RPL15;RPS27A;RPL39;RPL17;RPL19;RPS9;RPL41;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPL23A;RPS29;RPL27A;RPL37A;RPL24;RPL29;UBA52;RPS23
Metabolism of RNA	108/761	9.62250341639418E-19	7.957810325357988E-17	0	0	2.9089553232572074	120.67804738196631	MT-ND6;MT-ND4L;RPL5;EIF4A1;MT-ND4;MT-ND5;RPL3;RPL32;NUP188;EIF4A3;HNRNPU;PPP2R2A;MT-ND2;RPL8;MT-ND3;RPL9;MT-ND1;RPL7;PSMD2;KHSRP;MAGOH;RPL36;RPL38;RPL37;RPL39;SRRM2;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;CSNK1D;DDX39B;RPL24;MT-CO2;MT-CO3;NUP98;SRSF5;RPL29;SNRNP200;UBA52;SRSF7;SET;ANP32A;RBM8A;RPS4Y1;UBB;ERI1;PCBP2;RPL41;FUS;HNRNPM;LSM8;EPRS1;CNOT1;RPS29;RPL27A;HNRNPD;HNRNPC;MT-CYB;NOP10;APOBEC3B;RPS23;ISY1;RBM25;NXT1;PRPF19;MT-ATP6;UBL5;CNOT6L;HSBP1;YWHAZ;PSMA2;HNRNPH1;RPL37A;DNAJC8;SLU7;CD44;SF3B4;RPL12;RPL11;SRSF1;DDX21;PSMB6;PPP2CA;PSMB7;EXOSC4;PABPN1;PPP1R8;RPL14;RPS3;SNRPB2;LCMT2;RPL15;RPS27A;RPL17;SMNDC1;SRSF11;TRDMT1;RPL19;SF3A3;RBM39;RIOK3;RPL35A;RPL23A;PNRC2;PSMC1
