Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Formation of a Pool of Free 40S Subunits	7/106	1.339771852316131E-6	2.907569310219101E-4	0	0	14.430802874101843	195.1479091506893	RPS14;RPL41;RPS28;RPS27L;RPL35A;EIF3H;RPS24
L13a-mediated Translational Silencing of Ceruloplasmin Expression	7/116	2.4569391466091226E-6	2.907569310219101E-4	0	0	13.10025536744538	169.21068291800918	RPS14;RPL41;RPS28;RPS27L;RPL35A;EIF3H;RPS24
GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	7/117	2.6022298790856955E-6	2.907569310219101E-4	0	0	12.980506091846298	166.9181689212735	RPS14;RPL41;RPS28;RPS27L;RPL35A;EIF3H;RPS24
SRP-dependent Cotranslational Protein Targeting to Membrane	7/119	2.914405297847971E-6	2.907569310219101E-4	0	0	12.74742268041237	162.47667074591337	SRP19;RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Cap-dependent Translation Initiation	7/124	3.834157332157056E-6	2.907569310219101E-4	0	0	12.199577055247158	152.1477679321733	RPS14;RPL41;RPS28;RPS27L;RPL35A;EIF3H;RPS24
Eukaryotic Translation Initiation	7/124	3.834157332157056E-6	2.907569310219101E-4	0	0	12.199577055247158	152.1477679321733	RPS14;RPL41;RPS28;RPS27L;RPL35A;EIF3H;RPS24
Formation of the Ternary Complex, and Subsequently, the 43S Complex	5/53	8.121411508501837E-6	4.632761766559298E-4	0	0	20.883838383838384	244.77960727554688	RPS14;RPS28;RPS27L;EIF3H;RPS24
Peptide Chain Elongation	6/94	9.60969949536371E-6	4.632761766559298E-4	0	0	13.781076066790353	159.2091557205738	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Eukaryotic Translation Termination	6/98	1.2216861288479842E-5	4.632761766559298E-4	0	0	13.179236912156167	149.09266758745503	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Selenocysteine Synthesis	6/98	1.2216861288479842E-5	4.632761766559298E-4	0	0	13.179236912156167	149.09266758745503	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Eukaryotic Translation Elongation	6/99	1.29506583786781E-5	4.632761766559298E-4	0	0	13.036866359447005	146.7216385297926	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)	6/100	1.3719681957197439E-5	4.632761766559298E-4	0	0	12.897524967433782	144.40944846252998	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Ribosomal Scanning and Start Codon Recognition	5/60	1.5017380861992511E-5	4.632761766559298E-4	0	0	18.219467401285584	202.35091276802254	RPS14;RPS28;RPS27L;EIF3H;RPS24
Translation Initiation Complex Formation	5/60	1.5017380861992511E-5	4.632761766559298E-4	0	0	18.219467401285584	202.35091276802254	RPS14;RPS28;RPS27L;EIF3H;RPS24
Viral mRNA Translation	6/102	1.5368487465643713E-5	4.632761766559298E-4	0	0	12.627551020408163	139.9535650426323	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	5/61	1.6291030387900828E-5	4.632761766559298E-4	0	0	17.893217893217894	197.27086431253875	RPS14;RPS28;RPS27L;EIF3H;RPS24
Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	6/106	1.9146337702351078E-5	5.124460973276318E-4	0	0	12.12	131.66439713228576	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Cellular Response to Starvation	7/161	2.122489703297908E-5	5.365182305558601E-4	0	0	9.251171508903468	99.54571084123337	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24;ATP6V1F
SARS-CoV-1-host Interactions	6/112	2.6184950903140214E-5	6.270606663646735E-4	0	0	11.430496726992684	120.59546344238402	RPS14;RPS28;ITCH;TRIM25;RPS27L;RPS24
Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC)	6/120	3.8662395082342645E-5	8.376852267840907E-4	0	0	10.62406015037594	107.9472838182625	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Nonsense-Mediated Decay (NMD)	6/120	3.8662395082342645E-5	8.376852267840907E-4	0	0	10.62406015037594	107.9472838182625	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Selenoamino Acid Metabolism	6/122	4.242699674010907E-5	8.774674325795287E-4	0	0	10.439831104855735	105.1053557381905	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
SARS-CoV-1 Modulates Host Translation Machinery	4/41	6.025513004065557E-5	0.0011920036594999254	0	0	21.46918918918919	208.61445485988858	RPS14;RPS28;RPS27L;RPS24
Interferon Signaling	8/280	1.0771905532161863E-4	0.00204217375713902	0	0	6.012254901960785	54.9278649478751	STAT2;MX1;TRIM25;ADAR;GBP2;B2M;CD44;HLA-DPA1
Influenza Viral RNA Transcription and Replication	6/149	1.2867812819106499E-4	0.0023419419330773824	0	0	8.457114314257172	75.76049102068677	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
SARS-CoV-2-host Interactions	7/218	1.4410624489533282E-4	0.0025218592856683245	0	0	6.732545072555822	59.549089970848925	RPS14;RPS28;STAT2;TRIM25;RPS27L;B2M;RPS24
Interferon Gamma Signaling	5/99	1.6754238866221286E-4	0.0027822973198951507	0	0	10.639372447883087	92.50162108071669	TRIM25;GBP2;B2M;CD44;HLA-DPA1
SARS-CoV-1 Infection	6/157	1.7121829660893235E-4	0.0027822973198951507	0	0	8.005811596161644	69.43097129966698	RPS14;RPS28;ITCH;TRIM25;RPS27L;RPS24
Translation	8/302	1.8097429995636482E-4	0.002839424361384345	0	0	5.5561224489795915	47.87797126419725	SRP19;RPS14;RPL41;RPS28;RPS27L;RPL35A;EIF3H;RPS24
SARS-CoV-2 Modulates Host Translation Machinery	4/55	1.91913447844608E-4	0.0029106872923098876	0	0	15.564705882352941	133.21000734007185	RPS14;RPS28;RPS27L;RPS24
Regulation of Expression of SLITs and ROBOs	6/164	2.1693545936821043E-4	0.003184052710081798	0	0	7.648411263239473	64.52131419121466	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Influenza Infection	6/169	2.551073975946738E-4	0.003627308309549268	0	0	7.4119193689745835	61.32493069895451	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Major Pathway of rRNA Processing in the Nucleolus and Cytosol	6/189	4.6355363483278927E-4	0.006391421328755124	0	0	6.595182335229174	50.62850062366674	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Coenzyme A Biosynthesis	2/7	5.529033005328641E-4	0.007399147110072152	0	0	78.00392156862745	585.0549529900652	PANK2;DCAKD
rRNA Processing in the Nucleus and Cytosol	6/199	6.082897173003436E-4	0.007907766324904466	0	0	6.2502907898910856	46.282523763065406	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Interferon Alpha Beta Signaling	4/78	7.325165895680621E-4	0.009258195784818563	0	0	10.714594594594594	77.34892163012836	STAT2;MX1;ADAR;GBP2
Signaling by ROBO Receptors	6/210	8.056641778429184E-4	0.009907491916716969	0	0	5.909963985594238	42.10165884954159	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
SARS-CoV-2 Infection	7/313	0.001250692538340998	0.014975397498556685	0	0	4.619971700020214	30.880158110208125	RPS14;RPS28;STAT2;TRIM25;RPS27L;B2M;RPS24
rRNA Processing	6/237	0.0015001554703449984	0.017501813820691648	0	0	5.2120328650940895	33.889609885935286	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Immune System	21/2150	0.0032152483695602678	0.03657345020374805	0	0	2.1114443683611857	12.119375374335526	STAT2;MX1;ADAR;TNFRSF1B;PPL;ITCH;RNF213;BCL6;FABP5;BPIFA2;TRIM25;MNDA;GBP2;FCGR2B;B2M;MUC4;S100A8;CD44;ATP6V1F;LGMN;HLA-DPA1
Formation of the Nephric Duct	2/18	0.003880772627961155	0.04306711087127623	0	0	24.362745098039216	135.25516392567505	EMX2;WFDC2
SARS-CoV Infections	8/498	0.00446767497806746	0.04800866337757248	0	0	3.300340136054422	17.857768015679802	RPS14;RPS28;ITCH;STAT2;TRIM25;RPS27L;B2M;RPS24
Metabolism of Proteins	20/2067	0.004537082473045312	0.04800866337757248	0	0	2.076092772233466	11.20149855471844	RAB3B;SRP19;RPL41;ODAM;RPS27L;RPL35A;ARCN1;RPS14;PPP6C;RPS28;VCAN;B3GNT8;ADAMTSL4;TRIM25;EIF3H;B2M;FGF23;MUC4;RPS24;H3-3A
Vitamin B5 (Pantothenate) Metabolism	2/20	0.004786757771404614	0.049499426954297716	0	0	21.65359477124183	115.67138059180391	PANK2;DCAKD
Disease	20/2131	0.006359733647545819	0.06430397354740773	0	0	2.0059326430714397	10.145543500567959	GUCY2C;RPL41;MAML2;VTA1;STAT2;RPS27L;RPL35A;RPS14;RPS28;VCAN;ITCH;RNF213;ADAMTSL4;TRIM25;B2M;FGF23;MUC4;S100A8;RPS24;H3-3A
Cytokine Signaling in Immune System	10/776	0.007152495298566509	0.07074750784451657	0	0	2.6567968446197434	13.125357485065166	BCL6;STAT2;MX1;TRIM25;ADAR;TNFRSF1B;GBP2;B2M;CD44;HLA-DPA1
Amyloid Fiber Formation	3/80	0.00839939917430712	0.0813133324321221	0	0	7.6452359521666455	36.54113231488551	ODAM;B2M;H3-3A
Metabolism of Amino Acids and Derivatives	6/358	0.011037284306711975	0.10462425749070725	0	0	3.3993506493506493	15.319092984070226	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24
Developmental Biology	14/1385	0.01243060537527575	0.11542704991327483	0	0	2.101872112813032	9.222160781296227	RPL41;EMX2;MAML2;RPS27L;RPL35A;PPL;WFDC2;MYL12B;RPS14;RPS28;DPPA4;RPS24;H3-3A;ATP6V1F
Negative Regulators of DDX58 IFIH1 Signaling	2/35	0.01425071158081195	0.12968147538538874	0	0	11.802139037433156	50.17028450645526	ITCH;TRIM25
Evasion by RSV of Host Interferon Responses	2/37	0.01584435855500021	0.14112015428812583	0	0	11.126610644257703	46.11915320840008	STAT2;TRIM25
Innate Immune System	12/1149	0.016128017632928666	0.14112015428812583	0	0	2.1520018354938624	8.881736151664656	ITCH;FABP5;BPIFA2;TRIM25;MNDA;TNFRSF1B;B2M;MUC4;S100A8;CD44;ATP6V1F;LGMN
Triglyceride Metabolism	2/38	0.016668521050097463	0.14309768071310086	0	0	10.816993464052288	44.28729490487673	GK;FABP5
Metabolism of RNA	9/761	0.017656906931135342	0.14877578988271445	0	0	2.411758118701008	9.735370941112121	RPS14;RPL41;RPS28;WBP4;RPS27L;RPL35A;ADAR;RPS24;CD44
Viral Infection Pathways	11/1029	0.017988674755110394	0.14881540024682235	0	0	2.1934005112280035	8.813111547608933	RPS14;RPL41;RPS28;ITCH;VTA1;STAT2;TRIM25;RPS27L;RPL35A;B2M;RPS24
Infectious Disease	13/1311	0.018342421763706145	0.1490321768301124	0	0	2.0468853180717588	8.184550307553241	GUCY2C;RPL41;VTA1;STAT2;RPS27L;RPL35A;RPS14;RPS28;ITCH;RNF213;TRIM25;B2M;RPS24
Cellular Responses to Stress	9/787	0.021432481735976172	0.16996823222494017	0	0	2.3279935056149372	8.946124417841839	RPS14;RPL41;RPS28;RPS27L;RPL35A;HIGD1A;RPS24;H3-3A;ATP6V1F
O-linked Glycosylation	3/114	0.021666280151750615	0.16996823222494017	0	0	5.294353759700295	20.28795374412773	B3GNT8;ADAMTSL4;MUC4
Axon Guidance	7/541	0.02284157051675663	0.17615109466312315	0	0	2.616587513031391	9.888537234307936	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24;MYL12B
Kidney Development	2/46	0.023890978381706538	0.18117325272794124	0	0	8.846702317290553	33.035836743087756	EMX2;WFDC2
Nervous System Development	7/567	0.028530727566770834	0.212811164637389	0	0	2.4917525773195877	8.862599815309304	RPS14;RPL41;RPS28;RPS27L;RPL35A;RPS24;MYL12B
Metal Sequestration by Antimicrobial Proteins	1/6	0.03080081289942329	0.2260382236973806	0	0	38.623300970873785	134.41736035500898	S100A8
SARS-CoV-1 Activates Modulates Innate Immune Responses	2/54	0.032160535799861306	0.23227053633233166	0	0	7.482654600301659	25.717997405781645	ITCH;TRIM25
SARS-CoV-2 Activates Modulates Innate and Adaptive Immune Responses	3/138	0.03534100941563569	0.24169345785967014	0	0	4.347854785478548	14.533623102701526	STAT2;TRIM25;B2M
Release of Apoptotic Factors From the Mitochondria	1/7	0.03584214548589481	0.24169345785967014	0	0	32.18446601941748	107.13020583222142	BAK1
Scavenging by Class F Receptors	1/7	0.03584214548589481	0.24169345785967014	0	0	32.18446601941748	107.13020583222142	SCARF1
Bacterial Infection Pathways	3/143	0.03863710613966818	0.24169345785967014	0	0	4.191513437057991	13.637265703923909	GUCY2C;RNF213;B2M
Neutrophil Degranulation	6/478	0.03865034547220038	0.24169345785967014	0	0	2.5195434105845727	8.196577528597288	FABP5;MNDA;TNFRSF1B;B2M;S100A8;CD44
Regulated Necrosis	2/61	0.04017978609317963	0.24169345785967014	0	0	6.592555666334331	21.191053204986584	ITCH;BAK1
Diseases of Glycosylation	3/146	0.04068757697654256	0.24169345785967014	0	0	4.102956449491103	13.136979171154053	VCAN;ADAMTSL4;MUC4
Defective CHST14 Causes EDS, Musculocontractural Type	1/8	0.04085750745521912	0.24169345785967014	0	0	27.58529819694868	88.20853410483198	VCAN
Defective CHST3 Causes SEDCJD	1/8	0.04085750745521912	0.24169345785967014	0	0	27.58529819694868	88.20853410483198	VCAN
Defective CHSY1 Causes TPBS	1/8	0.04085750745521912	0.24169345785967014	0	0	27.58529819694868	88.20853410483198	VCAN
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs IMPs VICKZs) Bind RNA	1/8	0.04085750745521912	0.24169345785967014	0	0	27.58529819694868	88.20853410483198	CD44
VEGF Binds to VEGFR Leading to Receptor Dimerization	1/8	0.04085750745521912	0.24169345785967014	0	0	27.58529819694868	88.20853410483198	FLT1
VEGF Ligand-Receptor Interactions	1/8	0.04085750745521912	0.24169345785967014	0	0	27.58529819694868	88.20853410483198	FLT1
RHO GTPases Activate PKNs	2/62	0.041381263626717575	0.24169345785967014	0	0	6.482352941176471	20.645821359609894	H3-3A;MYL12B
Cellular Responses to Stimuli	9/887	0.041433164204514886	0.24169345785967014	0	0	2.05205610838029	6.5330769628137	RPS14;RPL41;RPS28;RPS27L;RPL35A;HIGD1A;RPS24;H3-3A;ATP6V1F
O-linked Glycosylation of Mucins	2/65	0.045065714532955874	0.259555697626518	0	0	6.172735760971055	19.13321874574491	B3GNT8;MUC4
Downregulation of ERBB4 Signaling	1/9	0.04584703105943643	0.2607549891505447	0	0	24.135922330097088	74.39764914161661	ITCH
Antiviral Mechanism by IFN-stimulated Genes	3/158	0.04942728726733694	0.2639377097521657	0	0	3.7830086234429894	11.376462645242489	MX1;TRIM25;ADAR
mRNA Editing	1/10	0.050810847928028736	0.2639377097521657	0	0	21.45307443365696	63.922554665894864	ADAR
Activation of Ca-permeable Kainate Receptor	1/10	0.050810847928028736	0.2639377097521657	0	0	21.45307443365696	63.922554665894864	NCALD
Ionotropic Activity of Kainate Receptors	1/10	0.050810847928028736	0.2639377097521657	0	0	21.45307443365696	63.922554665894864	NCALD
Diseases Associated With O-glycosylation of Proteins	2/71	0.052779730043795776	0.2639377097521657	0	0	5.634271099744246	16.57392997966635	ADAMTSL4;MUC4
Pre-NOTCH Transcription and Translation	2/73	0.05544856334439251	0.2639377097521657	0	0	5.475006904170119	15.835359592086085	MAML2;H3-3A
Modulation by Mtb of Host Immune System	1/11	0.05574908910260626	0.2639377097521657	0	0	19.306796116504856	55.73667787879545	B2M
Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression	1/11	0.05574908910260626	0.2639377097521657	0	0	19.306796116504856	55.73667787879545	B2M
Dermatan Sulfate Biosynthesis	1/11	0.05574908910260626	0.2639377097521657	0	0	19.306796116504856	55.73667787879545	VCAN
Regulation of Gene Expression by Hypoxia-inducible Factor	1/11	0.05574908910260626	0.2639377097521657	0	0	19.306796116504856	55.73667787879545	HIGD1A
Signaling by Activated Point Mutants of FGFR1	1/11	0.05574908910260626	0.2639377097521657	0	0	19.306796116504856	55.73667787879545	FGF23
Signaling by NOTCH1	2/74	0.05680054758657495	0.2639377097521657	0	0	5.398692810457517	15.48458099532185	ITCH;MAML2
Metabolism	17/2181	0.05772703678982173	0.2639377097521657	0	0	1.6011430513948202	4.566507440460661	PANK2;RPL41;GK;DCAKD;RPS27L;RPL35A;HIGD1A;UQCRH;RPS14;EBP;RPS28;VCAN;FABP5;LPCAT4;RPS24;CD44;LGMN
ISG15 Antiviral Mechanism	2/76	0.059538877067808964	0.2639377097521657	0	0	5.252252252252252	14.817264251342111	MX1;TRIM25
NOTCH2 Intracellular Domain Regulates Transcription	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	MAML2
