SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16
"{""LRAT"", ""retained_intron:SLVRNA""}","{""A2ML1"", ""protein_coding:SLVRNA""}","{""ABCA7"", ""protein_coding:SLVRNA""}","{""ABHD17A"", ""retained_intron:SLVRNA""}","{""ABTB1"", ""processed_transcript:SLVRNA""}","{""ABHD17A"", ""protein_coding:SLVRNA""}","{""ABTB1"", ""nonsense_mediated_decay:SLVRNA""}","{""AC005517.3"", ""processed_pseudogene:SLVRNA""}","{""ADGRE5"", ""processed_transcript:SLVRNA""}","{""ATMIN"", ""protein_coding:SLVRNA""}","{""BAG6"", ""processed_transcript:SLVRNA""}","{""ABHD6"", ""protein_coding:SLVRNA""}","{""ABCD4"", ""nonsense_mediated_decay:SLVRNA""}","{""ATF6B"", ""protein_coding:SLVRNA""}","{""AC009948.3"", ""antisense:SLVRNA""}","{""AC074117.10"", ""antisense:SLVRNA""}","{""ABHD12"", ""protein_coding:SLVRNA""}","{""AFF1"", ""protein_coding:SLVRNA""}"
"{""RN7SL1"", ""non_coding:SLVRNA""}","{""CRNN"", ""protein_coding:SLVRNA""}","{""SAFB"", ""retained_intron:SLVRNA""}","{""CCNH"", ""protein_coding:SLVRNA""}","{""RHOH"", ""processed_transcript:SLVRNA""}","{""KIAA0319L"", ""processed_transcript:SLVRNA""}","{""TLE3"", ""retained_intron:SLVRNA""}","{""SRSF2"", ""retained_intron:SLVRNA""}","{""PPP6R3"", ""retained_intron:SLVRNA""}","{""ZNF134"", ""protein_coding:SLVRNA""}","{""LLNLF-176F2.1"", ""transcribed_processed_pseudogene:SLVRNA""}","{""TACC1"", ""retained_intron:SLVRNA""}","{""CD27-AS1"", ""retained_intron:SLVRNA""}","{""SP2"", ""protein_coding:SLVRNA""}","{""UQCRC2"", ""protein_coding:SLVRNA""}","{""THOC2"", ""protein_coding:SLVRNA""}","{""ITPRIP"", ""protein_coding:SLVRNA""}","{""GTF3C4"", ""protein_coding:SLVRNA""}"
,"{""SPINT1"", ""protein_coding:SLVRNA""}","{""SRRM2"", ""retained_intron:SLVRNA""}","{""AMICA1"", ""retained_intron:SLVRNA""}","{""CD99L1"", ""retained_intron:SLVRNA""}","{""SCNN1A"", ""protein_coding:SLVRNA""}","{""ADAR"", ""retained_intron:SLVRNA""}","{""PAK1"", ""protein_coding:SLVRNA""}","{""SCN2A"", ""processed_transcript:SLVRNA""}","{""NOTCH3"", ""protein_coding:SLVRNA""}","{""GOLGA7"", ""protein_coding:SLVRNA""}","{""AIF1"", ""retained_intron:SLVRNA""}","{""ST3GAL2"", ""processed_transcript:SLVRNA""}","{""OSBPL5"", ""retained_intron:SLVRNA""}","{""TBC1D10C"", ""protein_coding:SLVRNA""}","{""CNIH4"", ""protein_coding:SLVRNA""}","{""EZR"", ""protein_coding:SLVRNA""}","{""ILF3"", ""retained_intron:SLVRNA""}"
,"{""SDCBP2"", ""protein_coding:SLVRNA""}","{""PLEKHM1"", ""protein_coding:SLVRNA""}","{""WSB1"", ""protein_coding:SLVRNA""}","{""WDR26"", ""nonsense_mediated_decay:SLVRNA""}","{""TICAM1"", ""protein_coding:SLVRNA""}","{""ZNF710"", ""protein_coding:SLVRNA""}","{""AUP1"", ""retained_intron:SLVRNA""}","{""TBC1D23"", ""processed_transcript:SLVRNA""}","{""ZNF555"", ""protein_coding:SLVRNA""}","{""IRF9"", ""protein_coding:SLVRNA""}","{""WDR6"", ""protein_coding:SLVRNA""}","{""SLC27A3"", ""retained_intron:SLVRNA""}","{""RPS6KA2"", ""protein_coding:SLVRNA""}","{""COL18A1"", ""protein_coding:SLVRNA""}","{""MAPK1IP1L"", ""protein_coding:SLVRNA""}","{""PER1"", ""protein_coding:SLVRNA""}","{""PCIF1"", ""protein_coding:SLVRNA""}"
,"{""TPI1"", ""protein_coding:SLVRNA""}","{""DNM2"", ""protein_coding:SLVRNA""}","{""MED14"", ""protein_coding:SLVRNA""}","{""ARGLU1"", ""protein_coding:SLVRNA""}","{""PPP1R15A"", ""protein_coding:SLVRNA""}","{""KDM3B"", ""retained_intron:SLVRNA""}","{""RPL32"", ""protein_coding:SLVRNA""}","{""HGSNAT"", ""retained_intron:SLVRNA""}","{""ZBTB8A"", ""protein_coding:SLVRNA""}","{""FAM210A"", ""protein_coding:SLVRNA""}","{""EFR3A"", ""protein_coding:SLVRNA""}","{""NCSTN"", ""retained_intron:SLVRNA""}","{""CEP41"", ""protein_coding:SLVRNA""}","{""UNC119"", ""protein_coding:SLVRNA""}","{""ARHGAP10"", ""protein_coding:SLVRNA""}","{""BACE2"", ""protein_coding:SLVRNA""}","{""FMNL3"", ""protein_coding:SLVRNA""}"
,"{""PIM1"", ""protein_coding:SLVRNA""}","{""IL4I1"", ""protein_coding:SLVRNA""}","{""ZDHHC18"", ""protein_coding:SLVRNA""}","{""BCL3"", ""retained_intron:SLVRNA""}","{""KCTD12"", ""protein_coding:SLVRNA""}","{""SLC25A3"", ""protein_coding:SLVRNA""}","{""SLCO4A1"", ""processed_transcript:SLVRNA""}","{""USP34"", ""processed_transcript:SLVRNA""}","{""LRAT"", ""protein_coding:SLVRNA""}","{""HLA-DMB"", ""retained_intron:SLVRNA""}","{""PKP2"", ""protein_coding:SLVRNA""}","{""STUB1"", ""retained_intron:SLVRNA""}","{""SMPD4"", ""retained_intron:SLVRNA""}","{""FBXO32"", ""protein_coding:SLVRNA""}","{""ATR"", ""protein_coding:SLVRNA""}","{""TIPARP"", ""protein_coding:SLVRNA""}","{""GAREM1"", ""protein_coding:SLVRNA""}"
,"{""TTC9"", ""protein_coding:SLVRNA""}","{""CTSB"", ""retained_intron:SLVRNA""}","{""MIR23A"", ""miRNA:SLVRNA""}","{""CEACAM4"", ""protein_coding:SLVRNA""}","{""TMEM184B"", ""protein_coding:SLVRNA""}","{""RP13-991F5.4"", ""sense_intronic:SLVRNA""}","{""CYB5B"", ""protein_coding:SLVRNA""}","{""TUBB4B"", ""protein_coding:SLVRNA""}","{""RP5-1014D13.2"", ""sense_overlapping:SLVRNA""}","{""CXADR"", ""protein_coding:SLVRNA""}","{""DHRS12"", ""protein_coding:SLVRNA""}","{""UQCRC2"", ""retained_intron:SLVRNA""}","{""PHYKPL"", ""processed_transcript:SLVRNA""}","{""JAK1"", ""protein_coding:SLVRNA""}","{""RNF123"", ""protein_coding:SLVRNA""}","{""SERINC1"", ""protein_coding:SLVRNA""}","{""SGK494"", ""retained_intron:SLVRNA""}"
,"{""SPRR3"", ""protein_coding:SLVRNA""}","{""RP11-463O12.5"", ""TEC:SLVRNA""}","{""TCHP"", ""retained_intron:SLVRNA""}","{""ULK1"", ""protein_coding:SLVRNA""}","{""CXCL14"", ""protein_coding:SLVRNA""}","{""ELOB"", ""protein_coding:SLVRNA""}","{""MBP"", ""retained_intron:SLVRNA""}","{""OS9"", ""retained_intron:SLVRNA""}","{""TMED9"", ""protein_coding:SLVRNA""}","{""XPNPEP3"", ""protein_coding:SLVRNA""}","{""ZNF28"", ""protein_coding:SLVRNA""}","{""MRPL44"", ""protein_coding:SLVRNA""}","{""LRP1"", ""protein_coding:SLVRNA""}","{""TINF2"", ""protein_coding:SLVRNA""}","{""CRLS1"", ""protein_coding:SLVRNA""}","{""BCL2L11"", ""protein_coding:SLVRNA""}","{""GRM3"", ""protein_coding:SLVRNA""}"
,"{""C1orf116"", ""protein_coding:SLVRNA""}","{""CAPN1"", ""protein_coding:SLVRNA""}","{""RPL4"", ""protein_coding:SLVRNA""}","{""GALNT1"", ""protein_coding:SLVRNA""}","{""HEATR3"", ""protein_coding:SLVRNA""}","{""ATP6V0C"", ""protein_coding:SLVRNA""}","{""PHF12"", ""protein_coding:SLVRNA""}","{""STK10"", ""protein_coding:SLVRNA""}","{""GJB6"", ""protein_coding:SLVRNA""}","{""PML"", ""retained_intron:SLVRNA""}","{""TNPO2"", ""protein_coding:SLVRNA""}","{""CSF3R"", ""processed_transcript:SLVRNA""}","{""ZC3H13"", ""protein_coding:SLVRNA""}","{""ARID1B"", ""protein_coding:SLVRNA""}","{""ZNF211"", ""protein_coding:SLVRNA""}","{""MYZAP"", ""protein_coding:SLVRNA""}","{""SRGAP2"", ""protein_coding:SLVRNA""}"
,"{""PLIN3"", ""protein_coding:SLVRNA""}","{""LGALS8"", ""retained_intron:SLVRNA""}","{""XXbac-BPG118E17.6"", ""processed_transcript:SLVRNA""}","{""ADD1"", ""retained_intron:SLVRNA""}","{""RBM7"", ""protein_coding:SLVRNA""}","{""ISG20L2"", ""protein_coding:SLVRNA""}","{""YBX1"", ""protein_coding:SLVRNA""}","{""CASC4"", ""protein_coding:SLVRNA""}","{""ETF1"", ""retained_intron:SLVRNA""}","{""KIAA1217"", ""protein_coding:SLVRNA""}","{""UNC13D"", ""retained_intron:SLVRNA""}","{""SRGAP2C"", ""protein_coding:SLVRNA""}","{""PARN"", ""protein_coding:SLVRNA""}","{""RPL4"", ""retained_intron:SLVRNA""}","{""CDK12"", ""protein_coding:SLVRNA""}","{""SARS"", ""processed_transcript:SLVRNA""}","{""ILKAP"", ""retained_intron:SLVRNA""}"
