SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11
"{""ATG9B"", ""nonsense_mediated_decay:SLVRNA""}","{""LRAT"", ""retained_intron:SLVRNA""}","{""ABCC5"", ""protein_coding:SLVRNA""}","{""AATK"", ""nonsense_mediated_decay:SLVRNA""}","{""ANAPC16"", ""processed_transcript:SLVRNA""}","{""ANKRD13D"", ""protein_coding:SLVRNA""}","{""ACVR1B"", ""protein_coding:SLVRNA""}","{""ACBD5"", ""protein_coding:SLVRNA""}","{""ABL1"", ""protein_coding:SLVRNA""}","{""AAK1"", ""protein_coding:SLVRNA""}","{""AGPAT3"", ""protein_coding:SLVRNA""}","{""AC002055.4"", ""processed_transcript:SLVRNA""}","{""ACTR3"", ""protein_coding:SLVRNA""}"
"{""RN7SL1"", ""non_coding:SLVRNA""}","{""NMNAT3"", ""protein_coding:SLVRNA""}","{""PKN1"", ""retained_intron:SLVRNA""}","{""ATP6V1B2"", ""retained_intron:SLVRNA""}","{""PGS1"", ""processed_transcript:SLVRNA""}","{""YOD1"", ""protein_coding:SLVRNA""}","{""MPP5"", ""protein_coding:SLVRNA""}","{""PBXIP1"", ""protein_coding:SLVRNA""}","{""GNG7"", ""protein_coding:SLVRNA""}","{""CAND1"", ""protein_coding:SLVRNA""}","{""KLHDC3"", ""protein_coding:SLVRNA""}","{""SMAD4"", ""protein_coding:SLVRNA""}","{""NELFE"", ""protein_coding:SLVRNA""}"
"{""KIFC2"", ""protein_coding:SLVRNA""}",,"{""SLC11A1"", ""nonsense_mediated_decay:SLVRNA""}","{""LAMTOR4"", ""protein_coding:SLVRNA""}","{""SLC25A37"", ""protein_coding:SLVRNA""}","{""EPG5"", ""protein_coding:SLVRNA""}","{""XPNPEP3"", ""protein_coding:SLVRNA""}","{""RP11-44M6.7"", ""retained_intron:SLVRNA""}","{""PLCG2"", ""retained_intron:SLVRNA""}","{""XBP1"", ""protein_coding:SLVRNA""}","{""CDK19"", ""protein_coding:SLVRNA""}","{""SLU7"", ""protein_coding:SLVRNA""}","{""PPM1G"", ""protein_coding:SLVRNA""}"
,,"{""STXBP2"", ""retained_intron:SLVRNA""}","{""SQRDL"", ""protein_coding:SLVRNA""}","{""STEAP4"", ""protein_coding:SLVRNA""}","{""MMADHC"", ""protein_coding:SLVRNA""}","{""HNRNPH3"", ""processed_transcript:SLVRNA""}","{""ITGA5"", ""protein_coding:SLVRNA""}","{""MFSD11"", ""protein_coding:SLVRNA""}","{""DMXL2"", ""retained_intron:SLVRNA""}","{""CWC22"", ""protein_coding:SLVRNA""}","{""NHS"", ""protein_coding:SLVRNA""}","{""NECTIN2"", ""protein_coding:SLVRNA""}"
,,"{""CCDC88B"", ""processed_transcript:SLVRNA""}","{""EIF4G1"", ""retained_intron:SLVRNA""}","{""ZMIZ2"", ""protein_coding:SLVRNA""}","{""RPS21"", ""protein_coding:SLVRNA""}","{""CDKL5"", ""protein_coding:SLVRNA""}","{""RAB35"", ""protein_coding:SLVRNA""}","{""DHRS12"", ""protein_coding:SLVRNA""}","{""STIM1"", ""protein_coding:SLVRNA""}","{""CCR5"", ""protein_coding:SLVRNA""}","{""NBPF10"", ""protein_coding:SLVRNA""}","{""CROCCP2"", ""processed_transcript:SLVRNA""}"
,,"{""MMP25"", ""protein_coding:SLVRNA""}","{""YWHAE"", ""protein_coding:SLVRNA""}","{""ARHGEF12"", ""protein_coding:SLVRNA""}","{""PPP1R13L"", ""protein_coding:SLVRNA""}","{""MYO9A"", ""protein_coding:SLVRNA""}","{""ARPP19"", ""protein_coding:SLVRNA""}","{""ZNF383"", ""protein_coding:SLVRNA""}","{""CPT1A"", ""protein_coding:SLVRNA""}","{""SRA1"", ""retained_intron:SLVRNA""}","{""PRDX1"", ""protein_coding:SLVRNA""}","{""SOAT1"", ""protein_coding:SLVRNA""}"
,,"{""RP11-324I22.3"", ""sense_intronic:SLVRNA""}","{""TNFRSF1B"", ""processed_transcript:SLVRNA""}","{""PINK1"", ""protein_coding:SLVRNA""}","{""SIM2"", ""protein_coding:SLVRNA""}","{""RP11-817O13.2"", ""processed_pseudogene:SLVRNA""}","{""PTPN13"", ""protein_coding:SLVRNA""}","{""NBPF9"", ""protein_coding:SLVRNA""}","{""PAQR5"", ""protein_coding:SLVRNA""}","{""BTG2"", ""nonsense_mediated_decay:SLVRNA""}","{""PTGES3"", ""protein_coding:SLVRNA""}","{""ESRRA"", ""protein_coding:SLVRNA""}"
,,"{""ARRDC1"", ""processed_transcript:SLVRNA""}","{""NORAD"", ""lincRNA:SLVRNA""}","{""SCN1B"", ""retained_intron:SLVRNA""}","{""NDRG2"", ""protein_coding:SLVRNA""}","{""Z97634.3"", ""processed_transcript:SLVRNA""}","{""SOCS1"", ""protein_coding:SLVRNA""}","{""CTD-2049J23.2"", ""antisense:SLVRNA""}","{""BAZ2B"", ""protein_coding:SLVRNA""}","{""LFNG"", ""protein_coding:SLVRNA""}","{""GTPBP2"", ""protein_coding:SLVRNA""}","{""PSMC2"", ""protein_coding:SLVRNA""}"
,,"{""ITGAM"", ""retained_intron:SLVRNA""}","{""MAFK"", ""protein_coding:SLVRNA""}","{""ARID1B"", ""protein_coding:SLVRNA""}","{""CACUL1"", ""protein_coding:SLVRNA""}","{""ARID5A"", ""retained_intron:SLVRNA""}","{""ERO1A"", ""nonsense_mediated_decay:SLVRNA""}","{""ATM"", ""protein_coding:SLVRNA""}","{""SCRIB"", ""protein_coding:SLVRNA""}","{""KCNJ15"", ""protein_coding:SLVRNA""}","{""KLF7"", ""protein_coding:SLVRNA""}","{""IQGAP2"", ""protein_coding:SLVRNA""}"
,,"{""HSPB1"", ""nonsense_mediated_decay:SLVRNA""}","{""DNAJC13"", ""protein_coding:SLVRNA""}","{""MAPRE2"", ""protein_coding:SLVRNA""}","{""NRDC"", ""processed_transcript:SLVRNA""}","{""OAZ2"", ""protein_coding:SLVRNA""}","{""MLLT4"", ""protein_coding:SLVRNA""}","{""RBM17"", ""protein_coding:SLVRNA""}","{""ADPGK"", ""nonsense_mediated_decay:SLVRNA""}","{""CASP4"", ""retained_intron:SLVRNA""}","{""TBL1X"", ""protein_coding:SLVRNA""}","{""ESYT2"", ""protein_coding:SLVRNA""}"
